ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
57,"simple, virtual",ito-ai-ml,,"Artificial Intelligence & Machine Learning",1,0,visible,"Hands-on AI/ML course covering model basics, practical datasets, and guided mini projects.","Hands-on AI/ML course covering model basics, practical datasets, and guided mini projects.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"IT Technologies for Kids",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/AIML.webp,,,,,,,,,0,
59,"simple, virtual",ito-python,,"Python Programming for Beginners",1,0,visible,"Start coding with Python through live sessions, assignments, and mentor feedback.","Start coding with Python through live sessions, assignments, and mentor feedback.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"IT Technologies for Kids",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/PythonCarouselCover.webp,,,,,,,,,0,
61,"simple, virtual",ito-robotics,,"Robotics & Computational Thinking",1,0,visible,"Build logic and automation skills with beginner robotics concepts and project work.","Build logic and automation skills with beginner robotics concepts and project work.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"IT Technologies for Kids",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/RoboticsCarouselCover.webp,,,,,,,,,0,
63,"simple, virtual",ito-algebra,,"Algebra I Foundation",1,0,visible,"Concept-to-application algebra training for middle and high school learners.","Concept-to-application algebra training for middle and high school learners.",,,taxable,,1,,,0,0,,,,,1,,750,1000,Academics,,,https://indiatutorsonline.com/wp-content/uploads/2026/04/Algebra1Carousel.webp,,,,,,,,,0,
65,"simple, virtual",ito-chess,,"Chess Strategy & Mind Sports",1,0,visible,"Structured chess coaching focused on openings, tactics, and tournament readiness.","Structured chess coaching focused on openings, tactics, and tournament readiness.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Mind Sports",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/Chess.jpg,,,,,,,,,0,
66,"simple, virtual",ito-violin,,"Violin/Viola Lessons for Beginners",1,0,visible,"Beginner-friendly violin and viola classes with technique drills and repertoire guidance.","Beginner-friendly violin and viola classes with technique drills and repertoire guidance.",,,taxable,,1,,,0,0,,,,,1,,750,1000,Music,,,https://indiatutorsonline.com/wp-content/uploads/2026/04/Violin.webp,,,,,,,,,0,
68,"simple, virtual",ito-ap-physics,,"AP Physics Prep",1,0,visible,"AP-aligned physics prep with concept boosters, timed practice, and exam strategy.","AP-aligned physics prep with concept boosters, timed practice, and exam strategy.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"AP Courses",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/App-Developement.jpg,,,,,,,,,0,
69,"simple, virtual",ito-sat-math,,"SAT/PSAT Math Mastery",1,0,visible,"Targeted SAT and PSAT math preparation with diagnostics and score-improvement plans.","Targeted SAT and PSAT math preparation with diagnostics and score-improvement plans.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Standardized Tests",,,https://indiatutorsonline.com/wp-content/uploads/2026/04/AIMLCarouselCover.webp,,,,,,,,,0,
100,"simple, virtual",ito-asset-aipromptingcarousel-webp,,AIPromptingCarousel,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/AIPromptingCarousel.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-30-scaled.webp",,,,,,,,,0,
103,"simple, virtual",ito-asset-apbiologycarousel-webp,,APBiologyCarousel,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/APBiologyCarousel.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-31-scaled.webp",,,,,,,,,0,
